=== Reverse Light On Attack ===

	Model	Sample Size	F1 Score	FN	Attack	Epsilon	F1 Score (Adv)	FN (Adv)	ASR (FN)
0	DNN	15195	0.0%	15195	FGSM	1	0.0%	15186	100.0%
1	DNN	15195	0.0%	15195	FGSM	5	0.0%	15186	100.0%
2	DT	15195	98.9%	324	FGSM	1	13.2%	14112	92.9%
3	DT	15195	98.9%	324	FGSM	5	20.1%	13488	88.8%
4	RF	15195	99.0%	309	FGSM	1	38.1%	11607	76.4%
5	RF	15195	99.0%	309	FGSM	5	0.7%	15135	99.7%
6	ET	15195	98.9%	324	FGSM	1	84.8%	4014	26.4%
7	ET	15195	98.9%	324	FGSM	5	1.4%	15081	99.3%
8	XGBoost	15195	99.0%	312	FGSM	1	0.7%	15135	99.7%
9	XGBoost	15195	99.0%	312	FGSM	5	0.7%	15135	99.7%
10	DNN	15195	0.0%	15195	BIM	1	0.0%	15186	100.0%
11	DNN	15195	0.0%	15195	BIM	5	0.0%	15186	100.0%
12	DT	15195	98.9%	324	BIM	1	15.4%	13920	91.7%
13	DT	15195	98.9%	324	BIM	5	15.4%	13917	91.6%
14	RF	15195	99.0%	309	BIM	1	45.1%	10761	70.9%
15	RF	15195	99.0%	309	BIM	5	44.9%	10788	71.0%
16	ET	15195	98.9%	324	BIM	1	85.0%	3972	26.2%
17	ET	15195	98.9%	324	BIM	5	85.0%	3969	26.1%
18	XGBoost	15195	99.0%	312	BIM	1	5.3%	14772	97.3%
19	XGBoost	15195	99.0%	312	BIM	5	5.5%	14754	97.2%
20	DNN	15195	0.0%	15195	PGD	1	0.0%	15186	100.0%
21	DNN	15195	0.0%	15195	PGD	5	0.0%	15186	100.0%
22	DT	15195	98.9%	324	PGD	1	14.1%	14033	92.4%
23	DT	15195	98.9%	324	PGD	5	15.6%	13903	91.6%
24	RF	15195	99.0%	309	PGD	1	40.5%	11330	74.6%
25	RF	15195	99.0%	309	PGD	5	8.5%	14512	95.6%
26	ET	15195	98.9%	324	PGD	1	84.6%	4050	26.7%
27	ET	15195	98.9%	324	PGD	5	48.2%	10368	68.3%
28	XGBoost	15195	99.0%	312	PGD	1	2.1%	15026	98.9%
29	XGBoost	15195	99.0%	312	PGD	5	7.0%	14636	96.4%

=== Reverse Light Off Attack ===
Model	Sample Size	F1 Score	FN	Attack	Epsilon	F1 Score (Adv)	FN (Adv)	ASR (FN)
0	DNN	10605	0.0%	10605	FGSM	1	0.0%	6387	100.0%
1	DNN	10605	0.0%	10605	FGSM	5	0.0%	6387	100.0%
2	DT	10605	72.4%	4590	FGSM	1	25.8%	5442	85.2%
3	DT	10605	72.4%	4590	FGSM	5	25.8%	5442	85.2%
4	RF	10605	71.9%	4647	FGSM	1	24.3%	5502	86.1%
5	RF	10605	71.9%	4647	FGSM	5	24.3%	5502	86.1%
6	ET	10605	72.4%	4590	FGSM	1	25.9%	5436	85.1%
7	ET	10605	72.4%	4590	FGSM	5	25.8%	5442	85.2%
8	XGBoost	10605	72.4%	4593	FGSM	1	25.8%	5442	85.2%
9	XGBoost	10605	72.4%	4593	FGSM	5	25.8%	5442	85.2%
10	DNN	10605	0.0%	10605	BIM	1	0.0%	6387	100.0%
11	DNN	10605	0.0%	10605	BIM	5	0.0%	6387	100.0%
12	DT	10605	72.4%	4590	BIM	1	25.8%	5442	85.2%
13	DT	10605	72.4%	4590	BIM	5	25.8%	5442	85.2%
14	RF	10605	71.9%	4647	BIM	1	24.6%	5490	86.0%
15	RF	10605	71.9%	4647	BIM	5	24.6%	5490	86.0%
16	ET	10605	72.4%	4590	BIM	1	25.9%	5436	85.1%
17	ET	10605	72.4%	4590	BIM	5	25.9%	5436	85.1%
18	XGBoost	10605	72.4%	4593	BIM	1	52.6%	4110	64.3%
19	XGBoost	10605	72.4%	4593	BIM	5	51.8%	4155	65.1%
20	DNN	10605	0.0%	10605	PGD	1	0.0%	6387	100.0%
21	DNN	10605	0.0%	10605	PGD	5	0.0%	6387	100.0%
22	DT	10605	72.4%	4590	PGD	1	11.0%	6014	94.2%
23	DT	10605	72.4%	4590	PGD	5	7.4%	6141	96.1%
24	RF	10605	71.9%	4647	PGD	1	3.0%	6289	98.5%
25	RF	10605	71.9%	4647	PGD	5	0.2%	6381	99.9%
26	ET	10605	72.4%	4590	PGD	1	1.6%	6335	99.2%
27	ET	10605	72.4%	4590	PGD	5	0.6%	6368	99.7%
28	XGBoost	10605	72.4%	4593	PGD	1	7.7%	6131	96.0%
29	XGBoost	10605	72.4%	4593	PGD	5	0.5%	6372	99.8%

=== max_speedometer_attack ===
Model	Sample Size	F1 Score	FN	Attack	Epsilon	F1 Score (Adv)	FN (Adv)	ASR (FN)
0	DNN	17221	0.0%	17221	FGSM	1	0.0%	14846	100.0%
1	DNN	17221	0.0%	17221	FGSM	5	0.0%	14846	100.0%
2	DT	17221	98.0%	659	FGSM	1	7.0%	14310	96.4%
3	DT	17221	98.0%	659	FGSM	5	24.8%	12745	85.8%
4	RF	17221	98.3%	571	FGSM	1	3.4%	14592	98.3%
5	RF	17221	98.3%	571	FGSM	5	3.4%	14592	98.3%
6	ET	17221	98.0%	667	FGSM	1	88.1%	3151	21.2%
7	ET	17221	98.0%	667	FGSM	5	88.1%	3151	21.2%
8	XGBoost	17221	98.4%	526	FGSM	1	3.4%	14592	98.3%
9	XGBoost	17221	98.4%	526	FGSM	5	3.4%	14592	98.3%
10	DNN	17221	0.0%	17221	BIM	1	0.0%	14846	100.0%
11	DNN	17221	0.0%	17221	BIM	5	0.0%	14846	100.0%
12	DT	17221	98.0%	659	BIM	1	7.0%	14310	96.4%
13	DT	17221	98.0%	659	BIM	5	7.0%	14310	96.4%
14	RF	17221	98.3%	571	BIM	1	3.4%	14592	98.3%
15	RF	17221	98.3%	571	BIM	5	3.4%	14592	98.3%
16	ET	17221	98.0%	667	BIM	1	88.1%	3151	21.2%
17	ET	17221	98.0%	667	BIM	5	88.1%	3151	21.2%
18	XGBoost	17221	98.4%	526	BIM	1	3.5%	14583	98.2%
19	XGBoost	17221	98.4%	526	BIM	5	3.5%	14583	98.2%
20	DNN	17221	0.0%	17221	PGD	1	0.0%	14846	100.0%
21	DNN	17221	0.0%	17221	PGD	5	0.0%	14846	100.0%
22	DT	17221	98.0%	659	PGD	1	6.2%	14368	96.8%
23	DT	17221	98.0%	659	PGD	5	13.0%	13813	93.0%
24	RF	17221	98.3%	571	PGD	1	2.6%	14648	98.7%
25	RF	17221	98.3%	571	PGD	5	2.7%	14642	98.6%
26	ET	17221	98.0%	667	PGD	1	88.1%	3151	21.2%
27	ET	17221	98.0%	667	PGD	5	88.1%	3152	21.2%
28	XGBoost	17221	98.4%	526	PGD	1	1.8%	14712	99.1%
29	XGBoost	17221	98.4%	526	PGD	5	2.5%	14658	98.7%

=== Max Engine Coolant Temp Attack ===
Model	Sample Size	F1 Score	FN	Attack	Epsilon	F1 Score (Adv)	FN (Adv)	ASR (FN)
0	DNN	88	0.0%	88	FGSM	1	0.0%	6	100.0%
1	DNN	88	0.0%	88	FGSM	5	0.0%	6	100.0%
2	DT	88	80.3%	29	FGSM	1	0.0%	6	100.0%
3	DT	88	80.3%	29	FGSM	5	0.0%	6	100.0%
4	RF	88	81.9%	27	FGSM	1	0.0%	6	100.0%
5	RF	88	81.9%	27	FGSM	5	0.0%	6	100.0%
6	ET	88	80.3%	29	FGSM	1	0.0%	6	100.0%
7	ET	88	80.3%	29	FGSM	5	0.0%	6	100.0%
8	XGBoost	88	82.7%	26	FGSM	1	0.0%	6	100.0%
9	XGBoost	88	82.7%	26	FGSM	5	0.0%	6	100.0%
10	DNN	88	0.0%	88	BIM	1	0.0%	6	100.0%
11	DNN	88	0.0%	88	BIM	5	0.0%	6	100.0%
12	DT	88	80.3%	29	BIM	1	0.0%	6	100.0%
13	DT	88	80.3%	29	BIM	5	0.0%	6	100.0%
14	RF	88	81.9%	27	BIM	1	0.0%	6	100.0%
15	RF	88	81.9%	27	BIM	5	0.0%	6	100.0%
16	ET	88	80.3%	29	BIM	1	0.0%	6	100.0%
17	ET	88	80.3%	29	BIM	5	0.0%	6	100.0%
18	XGBoost	88	82.7%	26	BIM	1	0.0%	6	100.0%
19	XGBoost	88	82.7%	26	BIM	5	0.0%	6	100.0%
20	DNN	88	0.0%	88	PGD	1	0.0%	6	100.0%
21	DNN	88	0.0%	88	PGD	5	0.0%	6	100.0%
22	DT	88	80.3%	29	PGD	1	0.0%	6	100.0%
23	DT	88	80.3%	29	PGD	5	0.0%	6	100.0%
24	RF	88	81.9%	27	PGD	1	0.0%	6	100.0%
25	RF	88	81.9%	27	PGD	5	0.0%	6	100.0%
26	ET	88	80.3%	29	PGD	1	0.0%	6	100.0%
27	ET	88	80.3%	29	PGD	5	0.0%	6	100.0%
28	XGBoost	88	82.7%	26	PGD	1	0.0%	6	100.0%
29	XGBoost	88	82.7%	26	PGD	5	0.0%	6	100.0%

=== Fuzzing Attack ===
Model	Sample Size	F1 Score	FN	Attack	Epsilon	F1 Score (Adv)	FN (Adv)	ASR (FN)
0	DNN	1061	0.0%	1061	FGSM	1	0.0%	625	100.0%
1	DNN	1061	0.0%	1061	FGSM	5	0.0%	627	100.0%
2	DT	1061	100.0%	0	FGSM	1	99.2%	10	1.6%
3	DT	1061	100.0%	0	FGSM	5	54.7%	391	62.4%
4	RF	1061	100.0%	0	FGSM	1	99.2%	10	1.6%
5	RF	1061	100.0%	0	FGSM	5	95.2%	57	9.1%
6	ET	1061	100.0%	0	FGSM	1	100.0%	0	0.0%
7	ET	1061	100.0%	0	FGSM	5	100.0%	0	0.0%
8	XGBoost	1061	100.0%	0	FGSM	1	99.2%	10	1.6%
9	XGBoost	1061	100.0%	0	FGSM	5	99.2%	10	1.6%
10	DNN	1061	0.0%	1061	BIM	1	0.0%	625	100.0%
11	DNN	1061	0.0%	1061	BIM	5	0.0%	627	100.0%
12	DT	1061	100.0%	0	BIM	1	99.3%	9	1.4%
13	DT	1061	100.0%	0	BIM	5	99.3%	9	1.4%
14	RF	1061	100.0%	0	BIM	1	99.3%	9	1.4%
