	Model	Sample Size	F1 Score	FP	Attack	Epsilon	F1 Score (Adv)	FP (Adv)	ASR
0	DNN	175412	100.0%	0	FGSM	1	100.0%	0	0.0%
1	DNN	175412	100.0%	0	FGSM	5	100.0%	0	0.0%
2	DT	175412	100.0%	95	FGSM	1	100.0%	82	0.1%
3	DT	175412	100.0%	95	FGSM	5	99.6%	856	0.7%
4	RF	175412	100.0%	95	FGSM	1	100.0%	16	0.0%
5	RF	175412	100.0%	95	FGSM	5	100.0%	63	0.1%
6	ET	175412	100.0%	88	FGSM	1	100.0%	11	0.0%
7	ET	175412	100.0%	88	FGSM	5	100.0%	57	0.0%
8	XGBoost	175412	100.0%	114	FGSM	1	100.0%	47	0.0%
9	XGBoost	175412	100.0%	114	FGSM	5	99.9%	191	0.2%
10	DNN	175412	100.0%	0	BIM	1	100.0%	0	0.0%
11	DNN	175412	100.0%	0	BIM	5	100.0%	0	0.0%
12	DT	175412	100.0%	95	BIM	1	100.0%	74	0.1%
13	DT	175412	100.0%	95	BIM	5	100.0%	67	0.1%
14	RF	175412	100.0%	95	BIM	1	100.0%	16	0.0%
15	RF	175412	100.0%	95	BIM	5	100.0%	14	0.0%
16	ET	175412	100.0%	88	BIM	1	100.0%	11	0.0%
17	ET	175412	100.0%	88	BIM	5	100.0%	11	0.0%
18	XGBoost	175412	100.0%	114	BIM	1	100.0%	13	0.0%
19	XGBoost	175412	100.0%	114	BIM	5	100.0%	13	0.0%
20	DNN	175412	100.0%	0	PGD	1	100.0%	0	0.0%
21	DNN	175412	100.0%	0	PGD	5	100.0%	0	0.0%
22	DT	175412	100.0%	95	PGD	1	100.0%	82	0.1%
23	DT	175412	100.0%	95	PGD	5	99.8%	571	0.5%
24	RF	175412	100.0%	95	PGD	1	100.0%	16	0.0%
25	RF	175412	100.0%	95	PGD	5	100.0%	41	0.0%
26	ET	175412	100.0%	88	PGD	1	100.0%	11	0.0%
27	ET	175412	100.0%	88	PGD	5	100.0%	14	0.0%
28	XGBoost	175412	100.0%	114	PGD	1	100.0%	43	0.0%
29	XGBoost	175412	100.0%	114	PGD	5	99.9%	124	0.1%
