	Model	Sample Size	F1 Score	FP	Attack	Epsilon	F1 Score (Adv)	FP (Adv)	ASR
0	DNN	87907	100.0%	0	FGSM	1	100.0%	0	0.0%
1	DNN	87907	100.0%	0	FGSM	5	100.0%	0	0.0%
2	DT	87907	100.0%	17	FGSM	1	100.0%	58	0.1%
3	DT	87907	100.0%	17	FGSM	5	99.6%	498	0.8%
4	RF	87907	100.0%	22	FGSM	1	100.0%	10	0.0%
5	RF	87907	100.0%	22	FGSM	5	100.0%	30	0.0%
6	ET	87907	100.0%	15	FGSM	1	100.0%	8	0.0%
7	ET	87907	100.0%	15	FGSM	5	100.0%	15	0.0%
8	XGBoost	87907	100.0%	20	FGSM	1	100.0%	9	0.0%
9	XGBoost	87907	100.0%	20	FGSM	5	99.9%	91	0.1%
10	DNN	87907	100.0%	0	BIM	1	100.0%	0	0.0%
11	DNN	87907	100.0%	0	BIM	5	100.0%	0	0.0%
12	DT	87907	100.0%	17	BIM	1	100.0%	53	0.1%
13	DT	87907	100.0%	17	BIM	5	100.0%	53	0.1%
14	RF	87907	100.0%	22	BIM	1	100.0%	10	0.0%
15	RF	87907	100.0%	22	BIM	5	100.0%	10	0.0%
16	ET	87907	100.0%	15	BIM	1	100.0%	8	0.0%
17	ET	87907	100.0%	15	BIM	5	100.0%	8	0.0%
18	XGBoost	87907	100.0%	20	BIM	1	100.0%	20	0.0%
19	XGBoost	87907	100.0%	20	BIM	5	100.0%	20	0.0%
20	DNN	87907	100.0%	0	PGD	1	100.0%	0	0.0%
21	DNN	87907	100.0%	0	PGD	5	100.0%	0	0.0%
22	DT	87907	100.0%	17	PGD	1	99.9%	90	0.1%
23	DT	87907	100.0%	17	PGD	5	99.7%	311	0.5%
24	RF	87907	100.0%	22	PGD	1	100.0%	11	0.0%
25	RF	87907	100.0%	22	PGD	5	100.0%	14	0.0%
26	ET	87907	100.0%	15	PGD	1	100.0%	9	0.0%
27	ET	87907	100.0%	15	PGD	5	100.0%	23	0.0%
28	XGBoost	87907	100.0%	20	PGD	1	100.0%	11	0.0%
29	XGBoost	87907	100.0%	20	PGD	5	100.0%	24	0.0%
