	Model	Sample Size	F1 Score	FP	Attack	Epsilon	F1 Score (Adv)	FP (Adv)	ASR
0	DNN	520216	100.0%	0	FGSM	1	100.0%	0	0.0%
1	DNN	520216	100.0%	0	FGSM	5	100.0%	0	0.0%
2	DT	520216	99.9%	985	FGSM	1	99.8%	1110	0.3%
3	DT	520216	99.9%	985	FGSM	5	99.2%	5834	1.6%
4	RF	520216	99.9%	942	FGSM	1	99.9%	788	0.2%
5	RF	520216	99.9%	942	FGSM	5	99.9%	972	0.3%
6	ET	520216	99.9%	980	FGSM	1	99.9%	842	0.2%
7	ET	520216	99.9%	980	FGSM	5	99.9%	916	0.3%
8	XGBoost	520216	99.9%	1016	FGSM	1	99.9%	850	0.2%
9	XGBoost	520216	99.9%	1016	FGSM	5	99.7%	2181	0.6%
10	DNN	520216	100.0%	0	BIM	1	100.0%	0	0.0%
11	DNN	520216	100.0%	0	BIM	5	100.0%	0	0.0%
12	DT	520216	99.9%	985	BIM	1	99.8%	1146	0.3%
13	DT	520216	99.9%	985	BIM	5	99.8%	1147	0.3%
14	RF	520216	99.9%	942	BIM	1	99.9%	839	0.2%
15	RF	520216	99.9%	942	BIM	5	99.9%	840	0.2%
16	ET	520216	99.9%	980	BIM	1	99.9%	838	0.2%
17	ET	520216	99.9%	980	BIM	5	99.9%	840	0.2%
18	XGBoost	520216	99.9%	1016	BIM	1	99.9%	948	0.3%
19	XGBoost	520216	99.9%	1016	BIM	5	99.9%	961	0.3%
20	DNN	520216	100.0%	0	PGD	1	100.0%	0	0.0%
21	DNN	520216	100.0%	0	PGD	5	100.0%	0	0.0%
22	DT	520216	99.9%	985	PGD	1	99.9%	685	0.2%
23	DT	520216	99.9%	985	PGD	5	99.6%	3015	0.8%
24	RF	520216	99.9%	942	PGD	1	100.0%	172	0.0%
25	RF	520216	99.9%	942	PGD	5	100.0%	99	0.0%
26	ET	520216	99.9%	980	PGD	1	100.0%	111	0.0%
27	ET	520216	99.9%	980	PGD	5	100.0%	31	0.0%
28	XGBoost	520216	99.9%	1016	PGD	1	100.0%	159	0.0%
29	XGBoost	520216	99.9%	1016	PGD	5	99.9%	532	0.1%
