	Model	Sample Size	F1 Score	FP	Attack	Epsilon	F1 Score (Adv)	FP (Adv)	ASR
0	DNN	57932	100.0%	0	FGSM	1	100.0%	0	0.0%
1	DNN	57932	100.0%	0	FGSM	5	100.0%	0	0.0%
2	DT	57932	100.0%	16	FGSM	1	99.1%	712	1.8%
3	DT	57932	100.0%	16	FGSM	5	99.0%	799	2.0%
4	RF	57932	100.0%	16	FGSM	1	99.9%	60	0.1%
5	RF	57932	100.0%	16	FGSM	5	100.0%	16	0.0%
6	ET	57932	100.0%	16	FGSM	1	99.9%	117	0.3%
7	ET	57932	100.0%	16	FGSM	5	100.0%	20	0.0%
8	XGBoost	57932	100.0%	16	FGSM	1	99.9%	68	0.2%
9	XGBoost	57932	100.0%	16	FGSM	5	99.9%	75	0.2%
10	DNN	57932	100.0%	0	BIM	1	100.0%	0	0.0%
11	DNN	57932	100.0%	0	BIM	5	100.0%	0	0.0%
12	DT	57932	100.0%	16	BIM	1	99.1%	699	1.7%
13	DT	57932	100.0%	16	BIM	5	99.1%	717	1.8%
14	RF	57932	100.0%	16	BIM	1	99.9%	67	0.2%
15	RF	57932	100.0%	16	BIM	5	99.9%	69	0.2%
16	ET	57932	100.0%	16	BIM	1	99.9%	117	0.3%
17	ET	57932	100.0%	16	BIM	5	99.9%	117	0.3%
18	XGBoost	57932	100.0%	16	BIM	1	99.9%	73	0.2%
19	XGBoost	57932	100.0%	16	BIM	5	99.9%	85	0.2%
20	DNN	57932	100.0%	0	PGD	1	100.0%	0	0.0%
21	DNN	57932	100.0%	0	PGD	5	100.0%	0	0.0%
22	DT	57932	100.0%	16	PGD	1	99.1%	697	1.7%
23	DT	57932	100.0%	16	PGD	5	99.5%	369	0.9%
24	RF	57932	100.0%	16	PGD	1	99.9%	64	0.2%
25	RF	57932	100.0%	16	PGD	5	100.0%	8	0.0%
26	ET	57932	100.0%	16	PGD	1	99.9%	117	0.3%
27	ET	57932	100.0%	16	PGD	5	100.0%	6	0.0%
28	XGBoost	57932	100.0%	16	PGD	1	99.9%	75	0.2%
29	XGBoost	57932	100.0%	16	PGD	5	99.9%	53	0.1%
