	Model	Sample Size	F1 Score	FP	Attack	Epsilon	F1 Score (Adv)	FP (Adv)	ASR
0	DNN	180357	100.0%	0	FGSM	1	100.0%	0	0.0%
1	DNN	180357	100.0%	0	FGSM	5	100.0%	0	0.0%
2	DT	180357	100.0%	15	FGSM	1	100.0%	93	0.1%
3	DT	180357	100.0%	15	FGSM	5	99.6%	891	0.7%
4	RF	180357	100.0%	15	FGSM	1	100.0%	15	0.0%
5	RF	180357	100.0%	15	FGSM	5	100.0%	57	0.0%
6	ET	180357	100.0%	12	FGSM	1	100.0%	42	0.0%
7	ET	180357	100.0%	12	FGSM	5	100.0%	45	0.0%
8	XGBoost	180357	100.0%	21	FGSM	1	100.0%	51	0.0%
9	XGBoost	180357	100.0%	21	FGSM	5	99.7%	822	0.6%
10	DNN	180357	100.0%	0	BIM	1	100.0%	0	0.0%
11	DNN	180357	100.0%	0	BIM	5	100.0%	0	0.0%
12	DT	180357	100.0%	15	BIM	1	100.0%	90	0.1%
13	DT	180357	100.0%	15	BIM	5	100.0%	60	0.0%
14	RF	180357	100.0%	15	BIM	1	100.0%	15	0.0%
15	RF	180357	100.0%	15	BIM	5	100.0%	15	0.0%
16	ET	180357	100.0%	12	BIM	1	100.0%	42	0.0%
17	ET	180357	100.0%	12	BIM	5	100.0%	42	0.0%
18	XGBoost	180357	100.0%	21	BIM	1	100.0%	48	0.0%
19	XGBoost	180357	100.0%	21	BIM	5	100.0%	51	0.0%
20	DNN	180357	100.0%	0	PGD	1	100.0%	0	0.0%
21	DNN	180357	100.0%	0	PGD	5	100.0%	0	0.0%
22	DT	180357	100.0%	15	PGD	1	100.0%	91	0.1%
23	DT	180357	100.0%	15	PGD	5	99.8%	502	0.4%
24	RF	180357	100.0%	15	PGD	1	100.0%	15	0.0%
25	RF	180357	100.0%	15	PGD	5	100.0%	25	0.0%
26	ET	180357	100.0%	12	PGD	1	100.0%	42	0.0%
27	ET	180357	100.0%	12	PGD	5	100.0%	87	0.1%
28	XGBoost	180357	100.0%	21	PGD	1	100.0%	46	0.0%
29	XGBoost	180357	100.0%	21	PGD	5	99.9%	280	0.2%
