	Model	Sample Size	F1 Score	FP	Attack	Epsilon	F1 Score (Adv)	FP (Adv)	ASR
0	DNN	468954	100.0%	0	FGSM	1	100.0%	0	0.0%
1	DNN	468954	100.0%	0	FGSM	5	100.0%	0	0.0%
2	DT	468954	99.8%	1665	FGSM	1	99.8%	1290	0.4%
3	DT	468954	99.8%	1665	FGSM	5	99.2%	5055	1.6%
4	RF	468954	99.8%	1746	FGSM	1	99.9%	834	0.3%
5	RF	468954	99.8%	1746	FGSM	5	99.9%	384	0.1%
6	ET	468954	99.8%	1665	FGSM	1	99.8%	960	0.3%
7	ET	468954	99.8%	1665	FGSM	5	100.0%	243	0.1%
8	XGBoost	468954	99.8%	1836	FGSM	1	99.9%	939	0.3%
9	XGBoost	468954	99.8%	1836	FGSM	5	99.8%	1203	0.4%
10	DNN	468954	100.0%	0	BIM	1	100.0%	0	0.0%
11	DNN	468954	100.0%	0	BIM	5	100.0%	0	0.0%
12	DT	468954	99.8%	1665	BIM	1	99.8%	1248	0.4%
13	DT	468954	99.8%	1665	BIM	5	99.8%	1248	0.4%
14	RF	468954	99.8%	1746	BIM	1	99.8%	1314	0.4%
15	RF	468954	99.8%	1746	BIM	5	99.8%	1314	0.4%
16	ET	468954	99.8%	1665	BIM	1	99.9%	888	0.3%
17	ET	468954	99.8%	1665	BIM	5	99.9%	888	0.3%
18	XGBoost	468954	99.8%	1836	BIM	1	99.8%	1362	0.4%
19	XGBoost	468954	99.8%	1836	BIM	5	99.8%	1392	0.4%
20	DNN	468954	100.0%	0	PGD	1	100.0%	0	0.0%
21	DNN	468954	100.0%	0	PGD	5	100.0%	0	0.0%
22	DT	468954	99.8%	1665	PGD	1	99.7%	1741	0.5%
23	DT	468954	99.8%	1665	PGD	5	99.5%	3108	1.0%
24	RF	468954	99.8%	1746	PGD	1	99.9%	898	0.3%
25	RF	468954	99.8%	1746	PGD	5	99.9%	603	0.2%
26	ET	468954	99.8%	1665	PGD	1	99.9%	939	0.3%
27	ET	468954	99.8%	1665	PGD	5	99.9%	375	0.1%
28	XGBoost	468954	99.8%	1836	PGD	1	99.8%	966	0.3%
29	XGBoost	468954	99.8%	1836	PGD	5	99.8%	1004	0.3%
