Model,Benign FP,Benign FN,MCC,Benign F1,Attack,Epsilon,Adv FP,ASR (FP),Adv FN,ASR (FN),Adv F1,Adv MCC,ASR
DT,1031,570,0.962,0.999,FGSM,1,1002,0.003,13,0.001,0.999,0.86,0.011
DT,1031,570,0.962,0.999,FGSM,5,1002,0.003,13,0.001,0.999,0.838,0.013
DT,1031,570,0.962,0.999,BIM,1,1002,0.003,13,0.001,0.999,0.872,0.01
DT,1031,570,0.962,0.999,BIM,5,1002,0.003,13,0.001,0.999,0.879,0.009
DT,1031,570,0.962,0.999,PGD,1,1124,0.003,3602,0.243,0.998,0.773,0.016
DT,1031,570,0.962,0.999,PGD,5,2830,0.008,6690,0.451,0.996,0.638,0.024
RF,989,486,0.96,0.999,FGSM,1,961,0.003,24,0.002,0.999,0.858,0.01
RF,989,486,0.96,0.999,FGSM,5,961,0.003,24,0.002,0.999,0.855,0.011
RF,989,486,0.96,0.999,BIM,1,961,0.003,24,0.002,0.999,0.851,0.011
RF,989,486,0.96,0.999,BIM,5,961,0.003,24,0.002,0.999,0.858,0.01
RF,989,486,0.96,0.999,PGD,1,632,0.002,4418,0.298,0.999,0.763,0.016
RF,989,486,0.96,0.999,PGD,5,751,0.002,7835,0.528,0.999,0.66,0.022
ET,1026,584,0.961,0.999,FGSM,1,998,0.003,276,0.019,0.999,0.855,0.01
ET,1026,584,0.961,0.999,FGSM,5,998,0.003,112,0.008,0.999,0.854,0.01
ET,1026,584,0.961,0.999,BIM,1,998,0.003,276,0.019,0.999,0.859,0.01
ET,1026,584,0.961,0.999,BIM,5,998,0.003,112,0.008,0.999,0.867,0.01
ET,1026,584,0.961,0.999,PGD,1,165,0.0,2217,0.149,1.0,0.885,0.008
ET,1026,584,0.961,0.999,PGD,5,283,0.001,2851,0.192,1.0,0.887,0.008
XGBoost,1007,442,0.956,0.999,FGSM,1,980,0.003,13,0.001,0.999,0.858,0.011
XGBoost,1007,442,0.956,0.999,FGSM,5,980,0.003,13,0.001,0.999,0.833,0.013
XGBoost,1007,442,0.956,0.999,BIM,1,980,0.003,13,0.001,0.999,0.863,0.011
XGBoost,1007,442,0.956,0.999,BIM,5,980,0.003,13,0.001,0.999,0.873,0.01
XGBoost,1007,442,0.956,0.999,PGD,1,249,0.001,7360,0.496,1.0,0.648,0.023
XGBoost,1007,442,0.956,0.999,PGD,5,1754,0.005,7468,0.503,0.998,0.63,0.024
DNN,237,4226,0.855,1.0,FGSM,1,183,0.001,3152,0.212,1.0,0.882,0.009
DNN,237,4226,0.855,1.0,FGSM,5,183,0.001,3152,0.212,1.0,0.783,0.016
DNN,237,4226,0.855,1.0,BIM,1,183,0.001,3152,0.212,1.0,0.882,0.009
DNN,237,4226,0.855,1.0,BIM,5,183,0.001,3152,0.212,1.0,0.882,0.008
DNN,237,4226,0.855,1.0,PGD,1,182,0.001,3152,0.212,1.0,0.882,0.009
DNN,237,4226,0.855,1.0,PGD,5,1475,0.004,3156,0.213,0.998,0.863,0.01
