Model,Sample Size,F1 Score,MCC,FP,FN,Attack,Epsilon,F1 Score (Adv),MCC (Adv),FP (Adv),FN (Adv),ASR
DNN,88968,99.9%,0.978,47,0,FGSM,1,100.0%,0.992,10,0,0.0%
DNN,88968,99.9%,0.978,47,0,FGSM,5,99.5%,0.803,341,0,0.6%
DT,88968,100.0%,0.990,22,0,FGSM,1,99.6%,0.838,262,0,0.4%
DT,88968,100.0%,0.990,22,0,FGSM,5,99.6%,0.789,117,140,0.4%
RF,88968,100.0%,0.989,23,0,FGSM,1,100.0%,0.998,2,0,0.0%
RF,88968,100.0%,0.989,23,0,FGSM,5,100.0%,0.994,7,0,0.0%
ET,88968,100.0%,0.992,18,0,FGSM,1,100.0%,1.000,0,0,0.0%
ET,88968,100.0%,0.992,18,0,FGSM,5,100.0%,1.000,0,0,0.0%
XGBoost,88968,100.0%,0.990,22,0,FGSM,1,100.0%,0.994,8,0,0.0%
XGBoost,88968,100.0%,0.990,22,0,FGSM,5,99.9%,0.948,70,0,0.1%
DNN,88968,99.9%,0.978,47,0,BIM,1,100.0%,0.992,10,0,0.0%
DNN,88968,99.9%,0.978,47,0,BIM,5,100.0%,0.992,10,0,0.0%
DT,88968,100.0%,0.990,22,0,BIM,1,99.6%,0.833,272,0,0.4%
DT,88968,100.0%,0.990,22,0,BIM,5,99.6%,0.833,272,0,0.4%
RF,88968,100.0%,0.989,23,0,BIM,1,100.0%,0.998,2,0,0.0%
RF,88968,100.0%,0.989,23,0,BIM,5,100.0%,0.998,2,0,0.0%
ET,88968,100.0%,0.992,18,0,BIM,1,100.0%,1.000,0,0,0.0%
ET,88968,100.0%,0.992,18,0,BIM,5,100.0%,1.000,0,0,0.0%
XGBoost,88968,100.0%,0.990,22,0,BIM,1,100.0%,0.983,21,0,0.0%
XGBoost,88968,100.0%,0.990,22,0,BIM,5,100.0%,0.983,21,0,0.0%
DNN,88968,99.9%,0.978,47,0,PGD,1,100.0%,0.990,13,0,0.0%
DNN,88968,99.9%,0.978,47,0,PGD,5,100.0%,0.990,13,0,0.0%
DT,88968,100.0%,0.990,22,0,PGD,1,99.5%,0.777,281,57,0.5%
DT,88968,100.0%,0.990,22,0,PGD,5,99.3%,0.638,183,245,0.7%
RF,88968,100.0%,0.989,23,0,PGD,1,100.0%,0.978,3,24,0.0%
RF,88968,100.0%,0.989,23,0,PGD,5,99.6%,0.812,11,201,0.3%
ET,88968,100.0%,0.992,18,0,PGD,1,100.0%,1.000,0,0,0.0%
ET,88968,100.0%,0.992,18,0,PGD,5,100.0%,0.995,6,0,0.0%
XGBoost,88968,100.0%,0.990,22,0,PGD,1,99.8%,0.898,15,105,0.2%
XGBoost,88968,100.0%,0.990,22,0,PGD,5,99.5%,0.742,41,243,0.5%
