Model,Sample Size,F1 Score,FN,Attack,Epsilon,F1 Score (Adv),FN (Adv),ASR (FN)
DNN,1061,98.9%,24,FGSM,1,98.0%,24,3.8%
DNN,1061,98.9%,24,FGSM,5,98.0%,24,3.8%
DT,1061,100.0%,0,FGSM,1,100.0%,0,0.0%
DT,1061,100.0%,0,FGSM,5,100.0%,0,0.0%
RF,1061,100.0%,0,FGSM,1,100.0%,0,0.0%
RF,1061,100.0%,0,FGSM,5,100.0%,0,0.0%
ET,1061,100.0%,0,FGSM,1,100.0%,0,0.0%
ET,1061,100.0%,0,FGSM,5,100.0%,0,0.0%
XGBoost,1061,100.0%,0,FGSM,1,100.0%,0,0.0%
XGBoost,1061,100.0%,0,FGSM,5,100.0%,0,0.0%
DNN,1061,98.9%,24,BIM,1,98.0%,24,3.8%
DNN,1061,98.9%,24,BIM,5,98.0%,24,3.8%
DT,1061,100.0%,0,BIM,1,100.0%,0,0.0%
DT,1061,100.0%,0,BIM,5,100.0%,0,0.0%
RF,1061,100.0%,0,BIM,1,100.0%,0,0.0%
RF,1061,100.0%,0,BIM,5,100.0%,0,0.0%
ET,1061,100.0%,0,BIM,1,100.0%,0,0.0%
ET,1061,100.0%,0,BIM,5,100.0%,0,0.0%
XGBoost,1061,100.0%,0,BIM,1,100.0%,0,0.0%
XGBoost,1061,100.0%,0,BIM,5,100.0%,0,0.0%
DNN,1061,98.9%,24,PGD,1,97.9%,26,4.2%
DNN,1061,98.9%,24,PGD,5,97.9%,26,4.1%
DT,1061,100.0%,0,PGD,1,92.8%,84,13.4%
DT,1061,100.0%,0,PGD,5,81.9%,192,30.6%
RF,1061,100.0%,0,PGD,1,92.8%,84,13.4%
RF,1061,100.0%,0,PGD,5,80.2%,207,33.0%
ET,1061,100.0%,0,PGD,1,100.0%,0,0.0%
ET,1061,100.0%,0,PGD,5,100.0%,0,0.0%
XGBoost,1061,100.0%,0,PGD,1,66.7%,312,49.9%
XGBoost,1061,100.0%,0,PGD,5,65.6%,321,51.2%
