Model,Sample Size,F1 Score,FP,Attack,Epsilon,F1 Score (Adv),FP (Adv),ASR (FP)
DNN,87907,100.0%,19,FGSM,1,100.0%,6,0.0%
DNN,87907,100.0%,19,FGSM,5,100.0%,6,0.0%
DT,87907,100.0%,22,FGSM,1,99.9%,67,0.1%
DT,87907,100.0%,22,FGSM,5,99.9%,67,0.1%
RF,87907,100.0%,20,FGSM,1,100.0%,8,0.0%
RF,87907,100.0%,20,FGSM,5,100.0%,8,0.0%
ET,87907,100.0%,18,FGSM,1,100.0%,8,0.0%
ET,87907,100.0%,18,FGSM,5,100.0%,8,0.0%
XGBoost,87907,100.0%,22,FGSM,1,99.9%,69,0.1%
XGBoost,87907,100.0%,22,FGSM,5,99.9%,69,0.1%
DNN,87907,100.0%,19,BIM,1,100.0%,6,0.0%
DNN,87907,100.0%,19,BIM,5,100.0%,6,0.0%
DT,87907,100.0%,22,BIM,1,99.9%,67,0.1%
DT,87907,100.0%,22,BIM,5,99.9%,67,0.1%
RF,87907,100.0%,20,BIM,1,100.0%,8,0.0%
RF,87907,100.0%,20,BIM,5,100.0%,8,0.0%
ET,87907,100.0%,18,BIM,1,100.0%,8,0.0%
ET,87907,100.0%,18,BIM,5,100.0%,8,0.0%
XGBoost,87907,100.0%,22,BIM,1,99.9%,69,0.1%
XGBoost,87907,100.0%,22,BIM,5,99.9%,69,0.1%
DNN,87907,100.0%,19,PGD,1,100.0%,6,0.0%
DNN,87907,100.0%,19,PGD,5,100.0%,43,0.1%
DT,87907,100.0%,22,PGD,1,99.8%,188,0.3%
DT,87907,100.0%,22,PGD,5,99.8%,294,0.5%
RF,87907,100.0%,20,PGD,1,100.0%,11,0.0%
RF,87907,100.0%,20,PGD,5,100.0%,38,0.1%
ET,87907,100.0%,18,PGD,1,100.0%,4,0.0%
ET,87907,100.0%,18,PGD,5,100.0%,31,0.1%
XGBoost,87907,100.0%,22,PGD,1,100.0%,34,0.1%
XGBoost,87907,100.0%,22,PGD,5,99.9%,90,0.1%
