Model,Sample Size,F1 Score,MCC,FP,FN,Attack,Epsilon,F1 Score (Adv),MCC (Adv),FP (Adv),FN (Adv),ASR
DNN,58020,99.8%,-0.000,1,88,FGSM,1,100.0%,0.000,0,6,0.0%
DNN,58020,99.8%,-0.000,1,88,FGSM,5,99.5%,-0.001,389,6,1.0%
DT,58020,99.9%,0.748,16,26,FGSM,1,100.0%,-0.000,9,6,0.0%
DT,58020,99.9%,0.748,16,26,FGSM,5,99.9%,-0.000,29,6,0.1%
RF,58020,99.9%,0.748,16,26,FGSM,1,100.0%,0.000,0,6,0.0%
RF,58020,99.9%,0.748,16,26,FGSM,5,100.0%,0.000,0,6,0.0%
ET,58020,99.9%,0.733,16,28,FGSM,1,100.0%,-0.000,8,6,0.0%
ET,58020,99.9%,0.733,16,28,FGSM,5,100.0%,0.000,0,6,0.0%
XGBoost,58020,99.9%,0.733,16,28,FGSM,1,100.0%,-0.000,8,6,0.0%
XGBoost,58020,99.9%,0.733,16,28,FGSM,5,100.0%,-0.000,19,6,0.1%
DNN,58020,99.8%,-0.000,1,88,BIM,1,100.0%,0.000,0,6,0.0%
DNN,58020,99.8%,-0.000,1,88,BIM,5,100.0%,0.000,0,6,0.0%
DT,58020,99.9%,0.748,16,26,BIM,1,100.0%,-0.000,9,6,0.0%
DT,58020,99.9%,0.748,16,26,BIM,5,100.0%,-0.000,13,6,0.0%
RF,58020,99.9%,0.748,16,26,BIM,1,100.0%,0.000,0,6,0.0%
RF,58020,99.9%,0.748,16,26,BIM,5,100.0%,0.000,0,6,0.0%
ET,58020,99.9%,0.733,16,28,BIM,1,100.0%,-0.000,8,6,0.0%
ET,58020,99.9%,0.733,16,28,BIM,5,100.0%,-0.000,8,6,0.0%
XGBoost,58020,99.9%,0.733,16,28,BIM,1,100.0%,-0.000,13,6,0.0%
XGBoost,58020,99.9%,0.733,16,28,BIM,5,100.0%,-0.000,13,6,0.0%
DNN,58020,99.8%,-0.000,1,88,PGD,1,100.0%,0.000,0,6,0.0%
DNN,58020,99.8%,-0.000,1,88,PGD,5,99.8%,-0.001,128,6,0.3%
DT,58020,99.9%,0.748,16,26,PGD,1,99.9%,0.051,62,5,0.2%
DT,58020,99.9%,0.748,16,26,PGD,5,99.8%,-0.001,164,6,0.4%
RF,58020,99.9%,0.748,16,26,PGD,1,100.0%,0.085,22,5,0.1%
RF,58020,99.9%,0.748,16,26,PGD,5,100.0%,-0.000,1,6,0.0%
ET,58020,99.9%,0.733,16,28,PGD,1,100.0%,0.091,19,5,0.1%
ET,58020,99.9%,0.733,16,28,PGD,5,100.0%,-0.000,18,6,0.1%
XGBoost,58020,99.9%,0.733,16,28,PGD,1,100.0%,-0.000,9,6,0.0%
XGBoost,58020,99.9%,0.733,16,28,PGD,5,99.9%,-0.000,26,6,0.1%
