Model,Sample Size,F1 Score,FN,Attack,Epsilon,F1 Score (Adv),FN (Adv),ASR (FN)
DNN,88,0.0%,88,FGSM,1,0.0%,6,100.0%
DNN,88,0.0%,88,FGSM,5,0.0%,6,100.0%
DT,88,82.7%,26,FGSM,1,50.0%,4,66.7%
DT,88,82.7%,26,FGSM,5,50.0%,4,66.7%
RF,88,81.9%,27,FGSM,1,50.0%,4,66.7%
RF,88,81.9%,27,FGSM,5,50.0%,4,66.7%
ET,88,81.9%,27,FGSM,1,50.0%,4,66.7%
ET,88,81.9%,27,FGSM,5,50.0%,4,66.7%
XGBoost,88,81.9%,27,FGSM,1,50.0%,4,66.7%
XGBoost,88,81.9%,27,FGSM,5,50.0%,4,66.7%
DNN,88,0.0%,88,BIM,1,0.0%,6,100.0%
DNN,88,0.0%,88,BIM,5,0.0%,6,100.0%
DT,88,82.7%,26,BIM,1,50.0%,4,66.7%
DT,88,82.7%,26,BIM,5,50.0%,4,66.7%
RF,88,81.9%,27,BIM,1,50.0%,4,66.7%
RF,88,81.9%,27,BIM,5,50.0%,4,66.7%
ET,88,81.9%,27,BIM,1,50.0%,4,66.7%
ET,88,81.9%,27,BIM,5,50.0%,4,66.7%
XGBoost,88,81.9%,27,BIM,1,50.0%,4,66.7%
XGBoost,88,81.9%,27,BIM,5,50.0%,4,66.7%
DNN,88,0.0%,88,PGD,1,0.0%,6,100.0%
DNN,88,0.0%,88,PGD,5,0.0%,6,100.0%
DT,88,82.7%,26,PGD,1,66.7%,3,50.0%
DT,88,82.7%,26,PGD,5,50.0%,4,66.7%
RF,88,81.9%,27,PGD,1,66.7%,3,50.0%
RF,88,81.9%,27,PGD,5,50.0%,4,66.7%
ET,88,81.9%,27,PGD,1,66.7%,3,50.0%
ET,88,81.9%,27,PGD,5,50.0%,4,66.7%
XGBoost,88,81.9%,27,PGD,1,0.0%,6,100.0%
XGBoost,88,81.9%,27,PGD,5,28.6%,5,83.3%
