Model,Sample Size,F1 Score,FP,Attack,Epsilon,F1 Score (Adv),FP (Adv),ASR (FP)
DNN,57932,100.0%,0,FGSM,1,100.0%,0,0.0%
DNN,57932,100.0%,0,FGSM,5,100.0%,0,0.0%
DT,57932,100.0%,17,FGSM,1,100.0%,14,0.0%
DT,57932,100.0%,17,FGSM,5,100.0%,14,0.0%
RF,57932,100.0%,16,FGSM,1,100.0%,13,0.0%
RF,57932,100.0%,16,FGSM,5,100.0%,13,0.0%
ET,57932,100.0%,16,FGSM,1,100.0%,13,0.0%
ET,57932,100.0%,16,FGSM,5,100.0%,13,0.0%
XGBoost,57932,100.0%,16,FGSM,1,100.0%,13,0.0%
XGBoost,57932,100.0%,16,FGSM,5,100.0%,13,0.0%
DNN,57932,100.0%,0,BIM,1,100.0%,0,0.0%
DNN,57932,100.0%,0,BIM,5,100.0%,0,0.0%
DT,57932,100.0%,17,BIM,1,100.0%,14,0.0%
DT,57932,100.0%,17,BIM,5,100.0%,14,0.0%
RF,57932,100.0%,16,BIM,1,100.0%,13,0.0%
RF,57932,100.0%,16,BIM,5,100.0%,13,0.0%
ET,57932,100.0%,16,BIM,1,100.0%,13,0.0%
ET,57932,100.0%,16,BIM,5,100.0%,13,0.0%
XGBoost,57932,100.0%,16,BIM,1,100.0%,13,0.0%
XGBoost,57932,100.0%,16,BIM,5,100.0%,13,0.0%
DNN,57932,100.0%,0,PGD,1,100.0%,7,0.0%
DNN,57932,100.0%,0,PGD,5,99.1%,746,1.8%
DT,57932,100.0%,17,PGD,1,99.8%,159,0.4%
DT,57932,100.0%,17,PGD,5,99.7%,279,0.7%
RF,57932,100.0%,16,PGD,1,100.0%,26,0.1%
RF,57932,100.0%,16,PGD,5,100.0%,11,0.0%
ET,57932,100.0%,16,PGD,1,100.0%,24,0.1%
ET,57932,100.0%,16,PGD,5,99.9%,50,0.1%
XGBoost,57932,100.0%,16,PGD,1,100.0%,13,0.0%
XGBoost,57932,100.0%,16,PGD,5,99.9%,60,0.1%
