Model,Sample Size,F1 Score,MCC,FP,FN,Attack,Epsilon,F1 Score (Adv),MCC (Adv),FP (Adv),FN (Adv),ASR
DNN,537437,99.1%,0.855,368,4146,FGSM,1,99.1%,0.882,48,3152,0.9%
DNN,537437,99.1%,0.855,368,4146,FGSM,5,98.4%,0.783,2931,3196,1.6%
DT,537437,99.8%,0.962,889,413,FGSM,1,98.9%,0.860,2026,1973,1.1%
DT,537437,99.8%,0.962,889,413,FGSM,5,98.8%,0.838,2798,1964,1.3%
RF,537437,99.8%,0.960,943,405,FGSM,1,98.9%,0.858,935,2910,1.0%
RF,537437,99.8%,0.960,943,405,FGSM,5,98.9%,0.855,1263,2713,1.1%
ET,537437,99.8%,0.961,885,424,FGSM,1,98.9%,0.855,882,3034,1.0%
ET,537437,99.8%,0.961,885,424,FGSM,5,98.9%,0.854,783,3152,1.0%
XGBoost,537437,99.7%,0.956,982,520,FGSM,1,98.9%,0.858,2107,1973,1.1%
XGBoost,537437,99.7%,0.956,982,520,FGSM,5,98.7%,0.833,2963,1974,1.3%
DNN,537437,99.1%,0.855,368,4146,BIM,1,99.1%,0.882,46,3152,0.9%
DNN,537437,99.1%,0.855,368,4146,BIM,5,99.1%,0.882,46,3152,0.8%
DT,537437,99.8%,0.962,889,413,BIM,1,99.0%,0.872,2245,1495,1.0%
DT,537437,99.8%,0.962,889,413,BIM,5,99.1%,0.879,2247,1330,0.9%
RF,537437,99.8%,0.960,943,405,BIM,1,98.9%,0.851,1238,2826,1.1%
RF,537437,99.8%,0.960,943,405,BIM,5,98.9%,0.858,1348,2579,1.0%
ET,537437,99.8%,0.961,885,424,BIM,1,98.9%,0.859,868,2953,1.0%
ET,537437,99.8%,0.961,885,424,BIM,5,99.0%,0.867,1036,2602,1.0%
XGBoost,537437,99.7%,0.956,982,520,BIM,1,99.0%,0.863,2148,1811,1.1%
XGBoost,537437,99.7%,0.956,982,520,BIM,5,99.0%,0.873,2140,1569,1.0%
DNN,537437,99.1%,0.855,368,4146,PGD,1,99.1%,0.882,51,3152,0.9%
DNN,537437,99.1%,0.855,368,4146,PGD,5,99.0%,0.863,529,3154,1.0%
DT,537437,99.8%,0.962,889,413,PGD,1,98.3%,0.773,1852,4210,1.6%
DT,537437,99.8%,0.962,889,413,PGD,5,97.4%,0.638,2158,6886,2.4%
RF,537437,99.8%,0.960,943,405,PGD,1,98.2%,0.763,493,5578,1.6%
RF,537437,99.8%,0.960,943,405,PGD,5,97.5%,0.660,507,7737,2.2%
ET,537437,99.8%,0.961,885,424,PGD,1,99.1%,0.885,248,2859,0.8%
ET,537437,99.8%,0.961,885,424,PGD,5,99.2%,0.887,174,2887,0.8%
XGBoost,537437,99.7%,0.956,982,520,PGD,1,97.4%,0.648,1532,7123,2.3%
XGBoost,537437,99.7%,0.956,982,520,PGD,5,97.3%,0.630,1336,7624,2.4%
