Model,Sample Size,F1 Score,FN,Attack,Epsilon,F1 Score (Adv),FN (Adv),ASR (FN)
DNN,17221,86.0%,4226,FGSM,1,88.1%,3152,21.2%
DNN,17221,86.0%,4226,FGSM,5,88.1%,3152,21.2%
DT,17221,98.3%,570,FGSM,1,100.0%,13,0.1%
DT,17221,98.3%,570,FGSM,5,100.0%,13,0.1%
RF,17221,98.6%,486,FGSM,1,99.9%,24,0.2%
RF,17221,98.6%,486,FGSM,5,99.9%,24,0.2%
ET,17221,98.3%,584,FGSM,1,99.1%,276,1.9%
ET,17221,98.3%,584,FGSM,5,99.6%,112,0.8%
XGBoost,17221,98.7%,442,FGSM,1,100.0%,13,0.1%
XGBoost,17221,98.7%,442,FGSM,5,100.0%,13,0.1%
DNN,17221,86.0%,4226,BIM,1,88.1%,3152,21.2%
DNN,17221,86.0%,4226,BIM,5,88.1%,3152,21.2%
DT,17221,98.3%,570,BIM,1,100.0%,13,0.1%
DT,17221,98.3%,570,BIM,5,100.0%,13,0.1%
RF,17221,98.6%,486,BIM,1,99.9%,24,0.2%
RF,17221,98.6%,486,BIM,5,99.9%,24,0.2%
ET,17221,98.3%,584,BIM,1,99.1%,276,1.9%
ET,17221,98.3%,584,BIM,5,99.6%,112,0.8%
XGBoost,17221,98.7%,442,BIM,1,100.0%,13,0.1%
XGBoost,17221,98.7%,442,BIM,5,100.0%,13,0.1%
DNN,17221,86.0%,4226,PGD,1,88.1%,3152,21.2%
DNN,17221,86.0%,4226,PGD,5,88.1%,3156,21.3%
DT,17221,98.3%,570,PGD,1,86.2%,3602,24.3%
DT,17221,98.3%,570,PGD,5,70.9%,6690,45.1%
RF,17221,98.6%,486,PGD,1,82.5%,4418,29.8%
RF,17221,98.6%,486,PGD,5,64.2%,7835,52.8%
ET,17221,98.3%,584,PGD,1,91.9%,2217,14.9%
ET,17221,98.3%,584,PGD,5,89.4%,2851,19.2%
XGBoost,17221,98.7%,442,PGD,1,67.0%,7360,49.6%
XGBoost,17221,98.7%,442,PGD,5,66.4%,7468,50.3%
