Model,Sample Size,F1 Score,FP,Attack,Epsilon,F1 Score (Adv),FP (Adv),ASR (FP)
DNN,520216,100.0%,237,FGSM,1,100.0%,183,0.1%
DNN,520216,100.0%,237,FGSM,5,100.0%,183,0.1%
DT,520216,99.9%,1031,FGSM,1,99.9%,1002,0.3%
DT,520216,99.9%,1031,FGSM,5,99.9%,1002,0.3%
RF,520216,99.9%,989,FGSM,1,99.9%,961,0.3%
RF,520216,99.9%,989,FGSM,5,99.9%,961,0.3%
ET,520216,99.9%,1026,FGSM,1,99.9%,998,0.3%
ET,520216,99.9%,1026,FGSM,5,99.9%,998,0.3%
XGBoost,520216,99.9%,1007,FGSM,1,99.9%,980,0.3%
XGBoost,520216,99.9%,1007,FGSM,5,99.9%,980,0.3%
DNN,520216,100.0%,237,BIM,1,100.0%,183,0.1%
DNN,520216,100.0%,237,BIM,5,100.0%,183,0.1%
DT,520216,99.9%,1031,BIM,1,99.9%,1002,0.3%
DT,520216,99.9%,1031,BIM,5,99.9%,1002,0.3%
RF,520216,99.9%,989,BIM,1,99.9%,961,0.3%
RF,520216,99.9%,989,BIM,5,99.9%,961,0.3%
ET,520216,99.9%,1026,BIM,1,99.9%,998,0.3%
ET,520216,99.9%,1026,BIM,5,99.9%,998,0.3%
XGBoost,520216,99.9%,1007,BIM,1,99.9%,980,0.3%
XGBoost,520216,99.9%,1007,BIM,5,99.9%,980,0.3%
DNN,520216,100.0%,237,PGD,1,100.0%,182,0.1%
DNN,520216,100.0%,237,PGD,5,99.8%,1475,0.4%
DT,520216,99.9%,1031,PGD,1,99.8%,1124,0.3%
DT,520216,99.9%,1031,PGD,5,99.6%,2830,0.8%
RF,520216,99.9%,989,PGD,1,99.9%,632,0.2%
RF,520216,99.9%,989,PGD,5,99.9%,751,0.2%
ET,520216,99.9%,1026,PGD,1,100.0%,165,0.0%
ET,520216,99.9%,1026,PGD,5,100.0%,283,0.1%
XGBoost,520216,99.9%,1007,PGD,1,100.0%,249,0.1%
XGBoost,520216,99.9%,1007,PGD,5,99.8%,1754,0.5%
