Model,Sample Size,F1 Score,MCC,FP,FN,Attack,Epsilon,F1 Score (Adv),MCC (Adv),FP (Adv),FN (Adv),ASR
DNN,190962,95.9%,0.612,0,6495,FGSM,1,94.4%,0.371,0,5472,4.1%
DNN,190962,95.9%,0.612,0,6495,FGSM,5,93.4%,0.153,1047,5838,5.1%
DT,190962,97.2%,0.733,18,4734,FGSM,1,94.5%,0.340,627,5169,4.4%
DT,190962,97.2%,0.733,18,4734,FGSM,5,94.8%,0.401,156,5169,4.0%
RF,190962,97.2%,0.738,18,4656,FGSM,1,94.9%,0.443,0,5085,3.8%
RF,190962,97.2%,0.738,18,4656,FGSM,5,94.9%,0.439,0,5106,3.8%
ET,190962,97.2%,0.733,18,4734,FGSM,1,94.8%,0.423,33,5163,3.9%
ET,190962,97.2%,0.733,18,4734,FGSM,5,94.8%,0.413,84,5169,3.9%
XGBoost,190962,97.3%,0.742,24,4593,FGSM,1,95.0%,0.450,3,5040,3.8%
XGBoost,190962,97.3%,0.742,24,4593,FGSM,5,95.0%,0.439,66,5040,3.8%
DNN,190962,95.9%,0.612,0,6495,BIM,1,94.4%,0.372,0,5466,4.1%
DNN,190962,95.9%,0.612,0,6495,BIM,5,94.4%,0.372,0,5466,4.1%
DT,190962,97.2%,0.733,18,4734,BIM,1,94.5%,0.349,627,5118,4.3%
DT,190962,97.2%,0.733,18,4734,BIM,5,94.6%,0.350,627,5118,4.3%
RF,190962,97.2%,0.738,18,4656,BIM,1,95.0%,0.454,0,5016,3.8%
RF,190962,97.2%,0.738,18,4656,BIM,5,95.1%,0.454,0,5016,3.8%
ET,190962,97.2%,0.733,18,4734,BIM,1,94.8%,0.423,33,5160,3.9%
ET,190962,97.2%,0.733,18,4734,BIM,5,94.9%,0.423,33,5160,3.9%
XGBoost,190962,97.3%,0.742,24,4593,BIM,1,96.4%,0.605,3,3975,3.0%
XGBoost,190962,97.3%,0.742,24,4593,BIM,5,96.3%,0.602,3,3999,3.0%
DNN,190962,95.9%,0.612,0,6495,PGD,1,94.6%,0.394,0,5353,4.0%
DNN,190962,95.9%,0.612,0,6495,PGD,5,94.1%,0.318,5,5706,4.3%
DT,190962,97.2%,0.733,18,4734,PGD,1,93.5%,0.188,702,5801,4.9%
DT,190962,97.2%,0.733,18,4734,PGD,5,93.3%,0.129,447,6073,4.9%
RF,190962,97.2%,0.738,18,4656,PGD,1,93.5%,0.231,2,6028,4.5%
RF,190962,97.2%,0.738,18,4656,PGD,5,92.9%,0.029,7,6377,4.8%
ET,190962,97.2%,0.733,18,4734,PGD,1,93.2%,0.166,33,6170,4.7%
ET,190962,97.2%,0.733,18,4734,PGD,5,92.9%,0.025,51,6367,4.8%
XGBoost,190962,97.3%,0.742,24,4593,PGD,1,93.1%,0.148,3,6236,4.7%
XGBoost,190962,97.3%,0.742,24,4593,PGD,5,92.9%,0.031,115,6350,4.8%
