Model,Sample Size,F1 Score,FN,Attack,Epsilon,F1 Score (Adv),FN (Adv),ASR (FN)
DNN,10605,54.0%,6687,FGSM,1,44.4%,4566,71.5%
DNN,10605,54.0%,6687,FGSM,5,44.4%,4566,71.5%
DT,10605,72.4%,4590,FGSM,1,71.9%,2799,43.8%
DT,10605,72.4%,4590,FGSM,5,71.9%,2799,43.8%
RF,10605,71.9%,4650,FGSM,1,71.2%,2859,44.8%
RF,10605,71.9%,4650,FGSM,5,71.2%,2859,44.8%
ET,10605,72.4%,4590,FGSM,1,71.9%,2799,43.8%
ET,10605,72.4%,4590,FGSM,5,71.9%,2799,43.8%
XGBoost,10605,72.4%,4593,FGSM,1,71.9%,2799,43.8%
XGBoost,10605,72.4%,4593,FGSM,5,71.9%,2799,43.8%
DNN,10605,54.0%,6687,BIM,1,44.4%,4566,71.5%
DNN,10605,54.0%,6687,BIM,5,44.4%,4566,71.5%
DT,10605,72.4%,4590,BIM,1,71.9%,2799,43.8%
DT,10605,72.4%,4590,BIM,5,71.9%,2799,43.8%
RF,10605,71.9%,4650,BIM,1,71.2%,2859,44.8%
RF,10605,71.9%,4650,BIM,5,71.2%,2859,44.8%
ET,10605,72.4%,4590,BIM,1,71.9%,2799,43.8%
ET,10605,72.4%,4590,BIM,5,71.9%,2799,43.8%
XGBoost,10605,72.4%,4593,BIM,1,71.9%,2799,43.8%
XGBoost,10605,72.4%,4593,BIM,5,71.9%,2799,43.8%
DNN,10605,54.0%,6687,PGD,1,43.3%,4624,72.4%
DNN,10605,54.0%,6687,PGD,5,25.2%,5465,85.6%
DT,10605,72.4%,4590,PGD,1,31.9%,5175,81.0%
DT,10605,72.4%,4590,PGD,5,8.7%,6096,95.4%
RF,10605,71.9%,4650,PGD,1,27.4%,5373,84.1%
RF,10605,71.9%,4650,PGD,5,0.6%,6368,99.7%
ET,10605,72.4%,4590,PGD,1,27.8%,5354,83.8%
ET,10605,72.4%,4590,PGD,5,0.7%,6365,99.7%
XGBoost,10605,72.4%,4593,PGD,1,20.9%,5642,88.3%
XGBoost,10605,72.4%,4593,PGD,5,1.7%,6333,99.2%
