Model,Sample Size,F1 Score,FP,Attack,Epsilon,F1 Score (Adv),FP (Adv),ASR (FP)
DNN,180357,100.0%,6,FGSM,1,100.0%,6,0.0%
DNN,180357,100.0%,6,FGSM,5,100.0%,0,0.0%
DT,180357,100.0%,18,FGSM,1,100.0%,6,0.0%
DT,180357,100.0%,18,FGSM,5,100.0%,6,0.0%
RF,180357,100.0%,18,FGSM,1,100.0%,6,0.0%
RF,180357,100.0%,18,FGSM,5,100.0%,6,0.0%
ET,180357,100.0%,18,FGSM,1,100.0%,6,0.0%
ET,180357,100.0%,18,FGSM,5,100.0%,6,0.0%
XGBoost,180357,100.0%,18,FGSM,1,100.0%,6,0.0%
XGBoost,180357,100.0%,18,FGSM,5,100.0%,6,0.0%
DNN,180357,100.0%,6,BIM,1,100.0%,6,0.0%
DNN,180357,100.0%,6,BIM,5,100.0%,0,0.0%
DT,180357,100.0%,18,BIM,1,100.0%,6,0.0%
DT,180357,100.0%,18,BIM,5,100.0%,6,0.0%
RF,180357,100.0%,18,BIM,1,100.0%,6,0.0%
RF,180357,100.0%,18,BIM,5,100.0%,6,0.0%
ET,180357,100.0%,18,BIM,1,100.0%,6,0.0%
ET,180357,100.0%,18,BIM,5,100.0%,6,0.0%
XGBoost,180357,100.0%,18,BIM,1,100.0%,6,0.0%
XGBoost,180357,100.0%,18,BIM,5,100.0%,6,0.0%
DNN,180357,100.0%,6,PGD,1,100.0%,3,0.0%
DNN,180357,100.0%,6,PGD,5,100.0%,72,0.1%
DT,180357,100.0%,18,PGD,1,99.8%,535,0.4%
DT,180357,100.0%,18,PGD,5,99.8%,492,0.4%
RF,180357,100.0%,18,PGD,1,100.0%,25,0.0%
RF,180357,100.0%,18,PGD,5,100.0%,54,0.0%
ET,180357,100.0%,18,PGD,1,100.0%,24,0.0%
ET,180357,100.0%,18,PGD,5,100.0%,64,0.1%
XGBoost,180357,100.0%,18,PGD,1,100.0%,27,0.0%
XGBoost,180357,100.0%,18,PGD,5,99.9%,135,0.1%
