Model,Sample Size,F1 Score,MCC,FP,FN,Attack,Epsilon,F1 Score (Adv),MCC (Adv),FP (Adv),FN (Adv),ASR
DNN,495216,98.8%,0.797,1692,3924,FGSM,1,98.5%,0.819,423,4434,1.4%
DNN,495216,98.8%,0.797,1692,3924,FGSM,5,93.3%,0.120,7611,13389,6.0%
DT,495216,99.6%,0.930,1893,306,FGSM,1,93.7%,0.117,2667,14175,4.9%
DT,495216,99.6%,0.930,1893,306,FGSM,5,93.6%,0.099,3762,14157,5.1%
RF,495216,99.6%,0.930,1896,300,FGSM,1,94.1%,0.206,846,13974,4.3%
RF,495216,99.6%,0.930,1896,300,FGSM,5,94.0%,0.161,1125,14205,4.4%
ET,495216,99.6%,0.930,1893,306,FGSM,1,98.8%,0.851,741,3333,1.2%
ET,495216,99.6%,0.930,1893,306,FGSM,5,94.2%,0.263,3,14088,4.0%
XGBoost,495216,99.6%,0.930,1827,354,FGSM,1,93.7%,0.112,2661,14214,4.9%
XGBoost,495216,99.6%,0.930,1827,354,FGSM,5,93.5%,0.093,3702,14226,5.1%
DNN,495216,98.8%,0.797,1692,3924,BIM,1,98.5%,0.826,138,4527,1.3%
DNN,495216,98.8%,0.797,1692,3924,BIM,5,98.6%,0.827,138,4527,1.3%
DT,495216,99.6%,0.930,1893,306,BIM,1,93.7%,0.133,3102,13947,4.9%
DT,495216,99.6%,0.930,1893,306,BIM,5,93.8%,0.131,3210,13947,4.9%
RF,495216,99.6%,0.930,1896,300,BIM,1,94.2%,0.221,1086,13737,4.3%
RF,495216,99.6%,0.930,1896,300,BIM,5,94.2%,0.205,1434,13737,4.4%
ET,495216,99.6%,0.930,1893,306,BIM,1,98.8%,0.858,717,3189,1.1%
ET,495216,99.6%,0.930,1893,306,BIM,5,98.7%,0.843,1134,3189,1.2%
XGBoost,495216,99.6%,0.930,1827,354,BIM,1,93.8%,0.139,2748,13965,4.8%
XGBoost,495216,99.6%,0.930,1827,354,BIM,5,93.8%,0.136,2877,13965,4.8%
DNN,495216,98.8%,0.797,1692,3924,PGD,1,98.6%,0.837,127,4288,1.3%
DNN,495216,98.8%,0.797,1692,3924,PGD,5,96.5%,0.578,48,9916,2.9%
DT,495216,99.6%,0.930,1893,306,PGD,1,93.3%,0.047,3698,14636,5.3%
DT,495216,99.6%,0.930,1893,306,PGD,5,93.1%,0.022,4124,14811,5.4%
RF,495216,99.6%,0.930,1896,300,PGD,1,93.9%,0.144,1333,14267,4.5%
RF,495216,99.6%,0.930,1896,300,PGD,5,93.5%,0.037,1190,14955,4.6%
ET,495216,99.6%,0.930,1893,306,PGD,1,98.6%,0.831,1120,3516,1.3%
ET,495216,99.6%,0.930,1893,306,PGD,5,95.9%,0.487,475,11008,3.3%
XGBoost,495216,99.6%,0.930,1827,354,PGD,1,93.3%,0.038,3322,14743,5.2%
XGBoost,495216,99.6%,0.930,1827,354,PGD,5,93.4%,0.054,2890,14657,5.0%
