Model,Sample Size,F1 Score,FN,Attack,Epsilon,F1 Score (Adv),FN (Adv),ASR (FN)
DNN,15195,94.2%,1674,FGSM,1,94.2%,1665,11.0%
DNN,15195,94.2%,1674,FGSM,5,94.2%,1665,11.0%
DT,15195,99.1%,273,FGSM,1,99.1%,273,1.8%
DT,15195,99.1%,273,FGSM,5,99.1%,273,1.8%
RF,15195,99.1%,258,FGSM,1,99.1%,258,1.7%
RF,15195,99.1%,258,FGSM,5,99.1%,258,1.7%
ET,15195,99.1%,273,FGSM,1,99.1%,273,1.8%
ET,15195,99.1%,273,FGSM,5,99.1%,273,1.8%
XGBoost,15195,98.9%,324,FGSM,1,98.9%,324,2.1%
XGBoost,15195,98.9%,324,FGSM,5,98.9%,324,2.1%
DNN,15195,94.2%,1674,BIM,1,94.2%,1665,11.0%
DNN,15195,94.2%,1674,BIM,5,94.2%,1665,11.0%
DT,15195,99.1%,273,BIM,1,99.1%,273,1.8%
DT,15195,99.1%,273,BIM,5,99.1%,273,1.8%
RF,15195,99.1%,258,BIM,1,99.1%,258,1.7%
RF,15195,99.1%,258,BIM,5,99.1%,258,1.7%
ET,15195,99.1%,273,BIM,1,99.1%,273,1.8%
ET,15195,99.1%,273,BIM,5,99.1%,273,1.8%
XGBoost,15195,98.9%,324,BIM,1,98.9%,324,2.1%
XGBoost,15195,98.9%,324,BIM,5,98.9%,324,2.1%
DNN,15195,94.2%,1674,PGD,1,88.5%,3140,20.7%
DNN,15195,94.2%,1674,PGD,5,70.5%,6916,45.5%
DT,15195,99.1%,273,PGD,1,58.3%,8936,58.8%
DT,15195,99.1%,273,PGD,5,9.4%,14433,95.0%
RF,15195,99.1%,258,PGD,1,75.6%,5961,39.3%
RF,15195,99.1%,258,PGD,5,13.6%,14075,92.7%
ET,15195,99.1%,273,PGD,1,92.2%,2210,14.6%
ET,15195,99.1%,273,PGD,5,66.4%,7644,50.3%
XGBoost,15195,98.9%,324,PGD,1,63.5%,8127,53.5%
XGBoost,15195,98.9%,324,PGD,5,12.4%,14186,93.4%
