Model,Sample Size,F1 Score,FP,Attack,Epsilon,F1 Score (Adv),FP (Adv),ASR (FP)
DNN,480021,99.9%,702,FGSM,1,99.9%,462,0.1%
DNN,480021,99.9%,702,FGSM,5,99.9%,462,0.1%
DT,480021,99.8%,1737,FGSM,1,99.7%,2025,0.6%
DT,480021,99.8%,1737,FGSM,5,99.7%,2025,0.6%
RF,480021,99.8%,1824,FGSM,1,99.7%,1896,0.6%
RF,480021,99.8%,1824,FGSM,5,99.7%,1896,0.6%
ET,480021,99.8%,1737,FGSM,1,99.7%,1653,0.5%
ET,480021,99.8%,1737,FGSM,5,99.7%,1809,0.5%
XGBoost,480021,99.8%,1899,FGSM,1,99.7%,2025,0.6%
XGBoost,480021,99.8%,1899,FGSM,5,99.7%,2025,0.6%
DNN,480021,99.9%,702,BIM,1,99.9%,462,0.1%
DNN,480021,99.9%,702,BIM,5,99.9%,462,0.1%
DT,480021,99.8%,1737,BIM,1,99.7%,2025,0.6%
DT,480021,99.8%,1737,BIM,5,99.7%,2025,0.6%
RF,480021,99.8%,1824,BIM,1,99.7%,1896,0.6%
RF,480021,99.8%,1824,BIM,5,99.7%,1896,0.6%
ET,480021,99.8%,1737,BIM,1,99.7%,1653,0.5%
ET,480021,99.8%,1737,BIM,5,99.7%,1809,0.5%
XGBoost,480021,99.8%,1899,BIM,1,99.7%,2025,0.6%
XGBoost,480021,99.8%,1899,BIM,5,99.7%,2025,0.6%
DNN,480021,99.9%,702,PGD,1,99.8%,1013,0.3%
DNN,480021,99.9%,702,PGD,5,99.8%,1217,0.4%
DT,480021,99.8%,1737,PGD,1,99.5%,3327,1.0%
DT,480021,99.8%,1737,PGD,5,99.3%,4497,1.4%
RF,480021,99.8%,1824,PGD,1,99.7%,2289,0.7%
RF,480021,99.8%,1824,PGD,5,99.7%,1665,0.5%
ET,480021,99.8%,1737,PGD,1,99.8%,1185,0.4%
ET,480021,99.8%,1737,PGD,5,99.9%,918,0.3%
XGBoost,480021,99.8%,1899,PGD,1,99.7%,2005,0.6%
XGBoost,480021,99.8%,1899,PGD,5,99.5%,3173,1.0%
