Model,Benign FP,Benign FN,MCC,Benign F1,Attack,Epsilon,Adv FP,ASR (FP),Adv FN,ASR (FN),Adv F1,Adv MCC,ASR
DT,22,0,0.99,1.0,FGSM,1,67,0.001,0,0.0,0.999,0.838,0.004
DT,22,0,0.99,1.0,FGSM,5,67,0.001,0,0.0,0.999,0.789,0.004
DT,22,0,0.99,1.0,BIM,1,67,0.001,0,0.0,0.999,0.833,0.004
DT,22,0,0.99,1.0,BIM,5,67,0.001,0,0.0,0.999,0.833,0.004
DT,22,0,0.99,1.0,PGD,1,188,0.003,84,0.134,0.998,0.777,0.005
DT,22,0,0.99,1.0,PGD,5,294,0.005,192,0.306,0.998,0.638,0.007
ET,18,0,0.992,1.0,FGSM,1,8,0.0,0,0.0,1.0,1.0,0.0
ET,18,0,0.992,1.0,FGSM,5,8,0.0,0,0.0,1.0,1.0,0.0
ET,18,0,0.992,1.0,BIM,1,8,0.0,0,0.0,1.0,1.0,0.0
ET,18,0,0.992,1.0,BIM,5,8,0.0,0,0.0,1.0,1.0,0.0
ET,18,0,0.992,1.0,PGD,1,4,0.0,0,0.0,1.0,1.0,0.0
ET,18,0,0.992,1.0,PGD,5,31,0.001,0,0.0,1.0,0.995,0.0
RF,20,0,0.989,1.0,FGSM,1,8,0.0,0,0.0,1.0,0.998,0.0
RF,20,0,0.989,1.0,FGSM,5,8,0.0,0,0.0,1.0,0.994,0.0
RF,20,0,0.989,1.0,BIM,1,8,0.0,0,0.0,1.0,0.998,0.0
RF,20,0,0.989,1.0,BIM,5,8,0.0,0,0.0,1.0,0.998,0.0
RF,20,0,0.989,1.0,PGD,1,11,0.0,84,0.134,1.0,0.978,0.0
RF,20,0,0.989,1.0,PGD,5,38,0.001,207,0.33,1.0,0.812,0.003
XGBoost,22,0,0.99,1.0,FGSM,1,69,0.001,0,0.0,0.999,0.994,0.0
XGBoost,22,0,0.99,1.0,FGSM,5,69,0.001,0,0.0,0.999,0.948,0.001
XGBoost,22,0,0.99,1.0,BIM,1,69,0.001,0,0.0,0.999,0.983,0.0
XGBoost,22,0,0.99,1.0,BIM,5,69,0.001,0,0.0,0.999,0.983,0.0
XGBoost,22,0,0.99,1.0,PGD,1,34,0.001,312,0.499,1.0,0.898,0.002
XGBoost,22,0,0.99,1.0,PGD,5,90,0.001,321,0.512,0.999,0.742,0.005
DNN,19,24,0.978,1.0,FGSM,1,6,0.0,24,0.038,1.0,0.992,0.0
DNN,19,24,0.978,1.0,FGSM,5,6,0.0,24,0.038,1.0,0.803,0.006
DNN,19,24,0.978,1.0,BIM,1,6,0.0,24,0.038,1.0,0.992,0.0
DNN,19,24,0.978,1.0,BIM,5,6,0.0,24,0.038,1.0,0.992,0.0
DNN,19,24,0.978,1.0,PGD,1,6,0.0,26,0.042,1.0,0.99,0.0
DNN,19,24,0.978,1.0,PGD,5,43,0.001,26,0.041,1.0,0.99,0.0
