Model,Benign FP,Benign FN,MCC,Benign F1,Attack,Epsilon,Adv FP,ASR (FP),Adv FN,ASR (FN),Adv F1,Adv MCC,ASR
DT,17,26,0.748,1.0,FGSM,1,14,0.0,4,0.667,1.0,-0.0,0.0
DT,17,26,0.748,1.0,FGSM,5,14,0.0,4,0.667,1.0,-0.0,0.001
DT,17,26,0.748,1.0,BIM,1,14,0.0,4,0.667,1.0,-0.0,0.0
DT,17,26,0.748,1.0,BIM,5,14,0.0,4,0.667,1.0,-0.0,0.0
DT,17,26,0.748,1.0,PGD,1,159,0.004,3,0.5,0.998,0.051,0.002
DT,17,26,0.748,1.0,PGD,5,279,0.007,4,0.667,0.997,-0.001,0.004
ET,16,27,0.733,1.0,FGSM,1,13,0.0,4,0.667,1.0,-0.0,0.0
ET,16,27,0.733,1.0,FGSM,5,13,0.0,4,0.667,1.0,0.0,0.0
ET,16,27,0.733,1.0,BIM,1,13,0.0,4,0.667,1.0,-0.0,0.0
ET,16,27,0.733,1.0,BIM,5,13,0.0,4,0.667,1.0,-0.0,0.0
ET,16,27,0.733,1.0,PGD,1,24,0.001,3,0.5,1.0,0.091,0.001
ET,16,27,0.733,1.0,PGD,5,50,0.001,4,0.667,0.999,-0.0,0.001
RF,16,27,0.748,1.0,FGSM,1,13,0.0,4,0.667,1.0,0.0,0.0
RF,16,27,0.748,1.0,FGSM,5,13,0.0,4,0.667,1.0,0.0,0.0
RF,16,27,0.748,1.0,BIM,1,13,0.0,4,0.667,1.0,0.0,0.0
RF,16,27,0.748,1.0,BIM,5,13,0.0,4,0.667,1.0,0.0,0.0
RF,16,27,0.748,1.0,PGD,1,26,0.001,3,0.5,1.0,0.085,0.001
RF,16,27,0.748,1.0,PGD,5,11,0.0,4,0.667,1.0,-0.0,0.0
XGBoost,16,27,0.733,1.0,FGSM,1,13,0.0,4,0.667,1.0,-0.0,0.0
XGBoost,16,27,0.733,1.0,FGSM,5,13,0.0,4,0.667,1.0,-0.0,0.001
XGBoost,16,27,0.733,1.0,BIM,1,13,0.0,4,0.667,1.0,-0.0,0.0
XGBoost,16,27,0.733,1.0,BIM,5,13,0.0,4,0.667,1.0,-0.0,0.0
XGBoost,16,27,0.733,1.0,PGD,1,13,0.0,6,1.0,1.0,-0.0,0.0
XGBoost,16,27,0.733,1.0,PGD,5,60,0.001,5,0.833,0.999,-0.0,0.001
DNN,0,88,-0.0,1.0,FGSM,1,0,0.0,6,1.0,1.0,0.0,0.0
DNN,0,88,-0.0,1.0,FGSM,5,0,0.0,6,1.0,1.0,-0.001,0.01
DNN,0,88,-0.0,1.0,BIM,1,0,0.0,6,1.0,1.0,0.0,0.0
DNN,0,88,-0.0,1.0,BIM,5,0,0.0,6,1.0,1.0,0.0,0.0
DNN,0,88,-0.0,1.0,PGD,1,7,0.0,6,1.0,1.0,0.0,0.0
DNN,0,88,-0.0,1.0,PGD,5,746,0.018,6,1.0,0.991,-0.001,0.003
