Model,Benign FP,Benign FN,MCC,Benign F1,Attack,Epsilon,Adv FP,ASR (FP),Adv FN,ASR (FN),Adv F1,Adv MCC,ASR
DT,18,4590,0.733,1.0,FGSM,1,6,0.0,2799,0.438,1.0,0.34,0.044
DT,18,4590,0.733,1.0,FGSM,5,6,0.0,2799,0.438,1.0,0.401,0.04
DT,18,4590,0.733,1.0,BIM,1,6,0.0,2799,0.438,1.0,0.349,0.043
DT,18,4590,0.733,1.0,BIM,5,6,0.0,2799,0.438,1.0,0.35,0.043
DT,18,4590,0.733,1.0,PGD,1,535,0.004,5175,0.81,0.998,0.188,0.049
DT,18,4590,0.733,1.0,PGD,5,492,0.004,6096,0.954,0.998,0.129,0.049
RF,18,4650,0.738,1.0,FGSM,1,6,0.0,2859,0.448,1.0,0.443,0.038
RF,18,4650,0.738,1.0,FGSM,5,6,0.0,2859,0.448,1.0,0.439,0.038
RF,18,4650,0.738,1.0,BIM,1,6,0.0,2859,0.448,1.0,0.454,0.038
RF,18,4650,0.738,1.0,BIM,5,6,0.0,2859,0.448,1.0,0.454,0.038
RF,18,4650,0.738,1.0,PGD,1,25,0.0,5373,0.841,1.0,0.231,0.045
RF,18,4650,0.738,1.0,PGD,5,54,0.0,6368,0.997,1.0,0.029,0.048
ET,18,4590,0.733,1.0,FGSM,1,6,0.0,2799,0.438,1.0,0.423,0.039
ET,18,4590,0.733,1.0,FGSM,5,6,0.0,2799,0.438,1.0,0.413,0.039
ET,18,4590,0.733,1.0,BIM,1,6,0.0,2799,0.438,1.0,0.423,0.039
ET,18,4590,0.733,1.0,BIM,5,6,0.0,2799,0.438,1.0,0.423,0.039
ET,18,4590,0.733,1.0,PGD,1,24,0.0,5354,0.838,1.0,0.166,0.047
ET,18,4590,0.733,1.0,PGD,5,64,0.001,6365,0.997,1.0,0.025,0.048
XGBoost,18,4593,0.742,1.0,FGSM,1,6,0.0,2799,0.438,1.0,0.45,0.038
XGBoost,18,4593,0.742,1.0,FGSM,5,6,0.0,2799,0.438,1.0,0.439,0.038
XGBoost,18,4593,0.742,1.0,BIM,1,6,0.0,2799,0.438,1.0,0.605,0.03
XGBoost,18,4593,0.742,1.0,BIM,5,6,0.0,2799,0.438,1.0,0.602,0.03
XGBoost,18,4593,0.742,1.0,PGD,1,27,0.0,5642,0.883,1.0,0.148,0.047
XGBoost,18,4593,0.742,1.0,PGD,5,135,0.001,6333,0.992,0.999,0.031,0.048
DNN,6,6687,0.612,1.0,FGSM,1,6,0.0,4566,0.715,1.0,0.371,0.041
DNN,6,6687,0.612,1.0,FGSM,5,0,0.0,4566,0.715,1.0,0.153,0.051
DNN,6,6687,0.612,1.0,BIM,1,6,0.0,4566,0.715,1.0,0.372,0.041
DNN,6,6687,0.612,1.0,BIM,5,0,0.0,4566,0.715,1.0,0.372,0.041
DNN,6,6687,0.612,1.0,PGD,1,3,0.0,4624,0.724,1.0,0.394,0.04
DNN,6,6687,0.612,1.0,PGD,5,72,0.001,5465,0.856,1.0,0.318,0.043
