Model,Benign FP,Benign FN,MCC,Benign F1,Attack,Epsilon,Adv FP,ASR (FP),Adv FN,ASR (FN),Adv F1,Adv MCC,ASR
DT,1737,273,0.93,0.998,FGSM,1,2025,0.006,273,0.018,0.997,0.117,0.049
DT,1737,273,0.93,0.998,FGSM,5,2025,0.006,273,0.018,0.997,0.099,0.051
DT,1737,273,0.93,0.998,BIM,1,2025,0.006,273,0.018,0.997,0.133,0.049
DT,1737,273,0.93,0.998,BIM,5,2025,0.006,273,0.018,0.997,0.131,0.049
DT,1737,273,0.93,0.998,PGD,1,3327,0.01,8936,0.588,0.995,0.047,0.053
DT,1737,273,0.93,0.998,PGD,5,4497,0.014,14433,0.95,0.993,0.022,0.054
ET,1737,273,0.93,0.998,FGSM,1,1653,0.005,273,0.018,0.997,0.851,0.012
ET,1737,273,0.93,0.998,FGSM,5,1809,0.005,273,0.018,0.997,0.263,0.04
ET,1737,273,0.93,0.998,BIM,1,1653,0.005,273,0.018,0.997,0.858,0.011
ET,1737,273,0.93,0.998,BIM,5,1809,0.005,273,0.018,0.997,0.843,0.012
ET,1737,273,0.93,0.998,PGD,1,1185,0.004,2210,0.146,0.998,0.831,0.013
ET,1737,273,0.93,0.998,PGD,5,918,0.003,7644,0.503,0.999,0.487,0.033
RF,1824,258,0.93,0.998,FGSM,1,1896,0.006,258,0.017,0.997,0.206,0.043
RF,1824,258,0.93,0.998,FGSM,5,1896,0.006,258,0.017,0.997,0.161,0.044
RF,1824,258,0.93,0.998,BIM,1,1896,0.006,258,0.017,0.997,0.221,0.043
RF,1824,258,0.93,0.998,BIM,5,1896,0.006,258,0.017,0.997,0.205,0.044
RF,1824,258,0.93,0.998,PGD,1,2289,0.007,5961,0.393,0.997,0.144,0.045
RF,1824,258,0.93,0.998,PGD,5,1665,0.005,14075,0.927,0.997,0.037,0.046
XGBoost,1899,324,0.93,0.998,FGSM,1,2025,0.006,324,0.021,0.997,0.112,0.049
XGBoost,1899,324,0.93,0.998,FGSM,5,2025,0.006,324,0.021,0.997,0.093,0.051
XGBoost,1899,324,0.93,0.998,BIM,1,2025,0.006,324,0.021,0.997,0.139,0.048
XGBoost,1899,324,0.93,0.998,BIM,5,2025,0.006,324,0.021,0.997,0.136,0.048
XGBoost,1899,324,0.93,0.998,PGD,1,2005,0.006,8127,0.535,0.997,0.038,0.052
XGBoost,1899,324,0.93,0.998,PGD,5,3173,0.01,14186,0.934,0.995,0.054,0.05
DNN,702,1674,0.797,0.999,FGSM,1,462,0.001,1665,0.11,0.999,0.819,0.014
DNN,702,1674,0.797,0.999,FGSM,5,462,0.001,1665,0.11,0.999,0.12,0.06
DNN,702,1674,0.797,0.999,BIM,1,462,0.001,1665,0.11,0.999,0.826,0.013
DNN,702,1674,0.797,0.999,BIM,5,462,0.001,1665,0.11,0.999,0.827,0.013
DNN,702,1674,0.797,0.999,PGD,1,1013,0.003,3140,0.207,0.998,0.837,0.013
DNN,702,1674,0.797,0.999,PGD,5,1217,0.004,6916,0.455,0.998,0.578,0.029
