Model,Sample Size,F1 Score,FP,Attack,Epsilon,F1 Score (Adv),FP (Adv),ASR (FP)
DT,175412,1.0,99,FGSM,1,0.999,137,0.001
DT,175412,1.0,99,FGSM,5,0.999,137,0.001
DT,175412,1.0,99,BIM,1,0.999,137,0.001
DT,175412,1.0,99,BIM,5,0.999,137,0.001
DT,175412,1.0,99,PGD,1,0.999,214,0.002
DT,175412,1.0,99,PGD,5,0.998,440,0.004
RF,175412,1.0,97,FGSM,1,1.0,48,0.0
RF,175412,1.0,97,FGSM,5,1.0,48,0.0
RF,175412,1.0,97,BIM,1,1.0,48,0.0
RF,175412,1.0,97,BIM,5,1.0,48,0.0
RF,175412,1.0,97,PGD,1,1.0,27,0.0
RF,175412,1.0,97,PGD,5,1.0,65,0.001
ET,175412,1.0,97,FGSM,1,1.0,47,0.0
ET,175412,1.0,97,FGSM,5,1.0,47,0.0
ET,175412,1.0,97,BIM,1,1.0,47,0.0
ET,175412,1.0,97,BIM,5,1.0,47,0.0
ET,175412,1.0,97,PGD,1,1.0,9,0.0
ET,175412,1.0,97,PGD,5,1.0,19,0.0
XGBoost,175412,1.0,115,FGSM,1,0.999,137,0.001
XGBoost,175412,1.0,115,FGSM,5,0.999,137,0.001
XGBoost,175412,1.0,115,BIM,1,0.999,137,0.001
XGBoost,175412,1.0,115,BIM,5,0.999,137,0.001
XGBoost,175412,1.0,115,PGD,1,1.0,51,0.0
XGBoost,175412,1.0,115,PGD,5,0.999,191,0.002
DNN,175412,0.999,322,FGSM,1,1.0,69,0.001
DNN,175412,0.999,322,FGSM,5,1.0,69,0.001
DNN,175412,0.999,322,BIM,1,1.0,69,0.001
DNN,175412,0.999,322,BIM,5,1.0,69,0.001
DNN,175412,0.999,322,PGD,1,1.0,59,0.0
DNN,175412,0.999,322,PGD,5,1.0,93,0.001
